dataset,model,k,p_mean,p_std,s_mean,s_std
sst2,gte-base,4,80.447,27.519,84.98,1.629
sst2,gte-base,8,80.691,24.036,84.349,1.501
sst2,gte-base,16,80.376,22.561,83.7,1.436
sst2,gte-base,32,79.942,21.068,83.044,1.395
sst2,gte-base,64,78.813,20.539,82.368,1.36
sst2,gte-small,4,78.268,27.836,86.029,1.599
sst2,gte-small,8,78.139,23.856,85.427,1.483
sst2,gte-small,16,77.774,22.204,84.808,1.41
sst2,gte-small,32,76.867,21.215,84.182,1.36
sst2,gte-small,64,75.502,20.692,83.532,1.315
sst2,e5-small,4,82.167,27.201,86.51,1.855
sst2,e5-small,8,82.01,25.039,86.035,1.789
sst2,e5-small,16,81.465,23.696,85.516,1.735
sst2,e5-small,32,80.637,22.752,84.955,1.681
sst2,e5-small,64,79.705,21.92,84.347,1.627
sst2,minilm-6,4,63.991,30.276,50.94,7.684
sst2,minilm-6,8,63.675,25.75,48.802,7.514
sst2,minilm-6,16,63.016,21.877,46.594,7.426
sst2,minilm-6,32,62.106,19.56,44.315,7.338
sst2,minilm-6,64,61.065,17.624,41.926,7.23
sarcastic-headlines,gte-base,4,70.943,27.981,83.097,1.904
sarcastic-headlines,gte-base,8,69.141,23.593,82.253,1.751
sarcastic-headlines,gte-base,16,67.402,20.737,81.366,1.641
sarcastic-headlines,gte-base,32,65.618,18.782,80.45,1.566
sarcastic-headlines,gte-base,64,63.954,17.458,79.515,1.529
sarcastic-headlines,gte-small,4,70.13,28.301,84.158,1.887
sarcastic-headlines,gte-small,8,68.21,23.654,83.334,1.736
sarcastic-headlines,gte-small,16,66.826,20.573,82.468,1.629
sarcastic-headlines,gte-small,32,65.113,18.643,81.579,1.555
sarcastic-headlines,gte-small,64,63.536,17.233,80.674,1.51
sarcastic-headlines,e5-small,4,74.539,27.119,84.632,1.63
sarcastic-headlines,e5-small,8,72.877,23.685,84.032,1.536
sarcastic-headlines,e5-small,16,71.436,21.241,83.404,1.463
sarcastic-headlines,e5-small,32,69.647,19.992,82.756,1.417
sarcastic-headlines,e5-small,64,67.725,18.867,82.096,1.391
sarcastic-headlines,minilm-6,4,67.474,28.39,47.744,6.646
sarcastic-headlines,minilm-6,8,65.545,23.404,45.108,6.118
sarcastic-headlines,minilm-6,16,63.751,20.178,42.307,5.615
sarcastic-headlines,minilm-6,32,62.192,17.515,39.393,5.137
sarcastic-headlines,minilm-6,64,60.797,15.612,36.384,4.684
