dataset,model,k,polarity,semantic,combined
sst2,gte-base,4,0.804,0.85,0.827
sst2,gte-base,8,0.807,0.843,0.825
sst2,gte-base,16,0.804,0.837,0.82
sst2,gte-base,32,0.799,0.83,0.815
sst2,gte-base,64,0.788,0.824,0.806
sst2,gte-small,4,0.783,0.86,0.821
sst2,gte-small,8,0.781,0.854,0.818
sst2,gte-small,16,0.778,0.848,0.813
sst2,gte-small,32,0.769,0.842,0.805
sst2,gte-small,64,0.755,0.835,0.795
sst2,e5-small,4,0.822,0.865,0.843
sst2,e5-small,8,0.82,0.86,0.84
sst2,e5-small,16,0.815,0.855,0.835
sst2,e5-small,32,0.806,0.85,0.828
sst2,e5-small,64,0.797,0.843,0.82
sst2,minilm-6,4,0.64,0.509,0.575
sst2,minilm-6,8,0.637,0.488,0.562
sst2,minilm-6,16,0.63,0.466,0.548
sst2,minilm-6,32,0.621,0.443,0.532
sst2,minilm-6,64,0.611,0.419,0.515
sarcastic-headlines,gte-base,4,0.709,0.831,0.77
sarcastic-headlines,gte-base,8,0.691,0.823,0.757
sarcastic-headlines,gte-base,16,0.674,0.814,0.744
sarcastic-headlines,gte-base,32,0.656,0.805,0.73
sarcastic-headlines,gte-base,64,0.64,0.795,0.717
sarcastic-headlines,gte-small,4,0.701,0.842,0.771
sarcastic-headlines,gte-small,8,0.682,0.833,0.758
sarcastic-headlines,gte-small,16,0.668,0.825,0.746
sarcastic-headlines,gte-small,32,0.651,0.816,0.733
sarcastic-headlines,gte-small,64,0.635,0.807,0.721
sarcastic-headlines,e5-small,4,0.745,0.846,0.796
sarcastic-headlines,e5-small,8,0.729,0.84,0.785
sarcastic-headlines,e5-small,16,0.714,0.834,0.774
sarcastic-headlines,e5-small,32,0.696,0.828,0.762
sarcastic-headlines,e5-small,64,0.677,0.821,0.749
sarcastic-headlines,minilm-6,4,0.675,0.477,0.576
sarcastic-headlines,minilm-6,8,0.655,0.451,0.553
sarcastic-headlines,minilm-6,16,0.638,0.423,0.53
sarcastic-headlines,minilm-6,32,0.622,0.394,0.508
sarcastic-headlines,minilm-6,64,0.608,0.364,0.486
